Chave_Tempo,Chave_Local,Chave_Religiao,Em_Conflito,Populacao_Total,Populacao_Urbana,Populacao_Rural,Taxa_Crescimento,Expectativa_Vida,Taxa_Mortalidade,PIB_Per_Capita,Acesso_Educacao,Medicos_Por_Habitante
23,1,36,Baixo,1463865525,542742539,921122986,0.89,,,,,
22,1,36,Baixo,1450935791,530387142,920548649,0.89,,,,,
21,1,36,Médio,1438069596,518239122,919830474,0.89,72.0026,,9160.063,,
20,1,36,Médio,1425423212,506304869,919118343,0.79,71.6984,,8544.688,,
18,1,36,Médio,1402617695,483098640,919519055,0.98,70.1563,,7399.531,34.0765442315962,7.23
13,1,36,Médio,1328024498,429069459,898955039,1.32,69.326,,6488.146,,7.23
12,1,25,Alto,1243481564,380744554,862737010,1.49,67.1616,,5059.2827,,
11,1,25,Alto,1154676322,334479406,820196916,1.77,64.9385,,3881.966,,
10,1,25,Alto,1057922733,291350282,766572451,1.96,62.7492,,3099.503,,
9,1,25,Alto,960301044,255558824,704742220,2.11,60.6295,,2542.422,,
8,1,25,Alto,864972221,222296728,642675493,2.28,58.6184,,2203.147,,
7,1,25,Baixo,772647793,190321782,582326011,2.37,56.3239,,,,
6,1,25,Baixo,687354025,160941941,526412084,2.37,53.5928,,,,
5,1,25,Baixo,611309535,132533810,478775725,2.29,50.7615,,,,
4,1,25,Baixo,545864268,109388950,436475318,2.18,48.5852,,,,
3,1,25,Baixo,490140146,93493844,396646302,2.37,45.5579,,,,
2,1,25,Baixo,435990338,80565723,355424615,2.38,45.6104,,,,
1,1,25,Baixo,387700887,71958495,315742392,2.29,43.7399,,,,
23,2,36,Baixo,1416096094,956553854,459542240,-0.23,,,,,
22,2,36,Baixo,1419321278,941865672,477455606,-0.23,,,,,
21,2,36,Baixo,1422584933,926375811,496209122,-0.18,77.9529,,22137.6,,
20,2,36,Baixo,1425179569,910080750,515098819,-0.09,78.2021,,21011.617,,31.12
18,2,36,Baixo,1426106093,875075919,551030174,0.18,78.0191,,18833.785,49.289649408920155,23.85
13,2,36,Baixo,1396134174,775352918,620781256,0.65,76.9755,,14575.935,,17.97
12,2,32,Baixo,1351561514,669353557,682207957,0.63,75.6679,,10267.806,,14.6
11,2,32,Baixo,1310027136,561983323,748043813,0.63,74.085,,6165.1836,,12.39
10,2,32,Baixo,1269581175,460377048,809204127,0.8,72.2885,,3989.062,,12.63
9,2,32,Baixo,1220133927,383901711,836232216,1.13,70.3631,,2763.7998,,11.92
8,2,34,Baixo,1153582724,310022147,843560577,1.71,68.1547,,1645.579,,11.3
7,2,34,Baixo,1059807820,244946241,814861579,1.51,66.5319,,,,
6,2,34,Baixo,983163542,192392094,790771448,1.42,64.2433,,,,
5,2,34,Baixo,916116793,160244444,755872349,2.16,60.952,,,,
4,2,32,Baixo,823308967,143513192,679795775,2.62,56.8241,,,,
3,2,32,Baixo,723415733,130684595,592731138,2.01,53.0009,,,,
2,2,32,Baixo,654802069,106561743,548240326,1.64,33.419,,,,
1,2,32,Baixo,603547007,84639825,518907182,2.1,47.2366,,,,
23,3,36,Baixo,347275807,287421363,59854444,0.54,,,,,
22,3,36,Baixo,345426571,284698234,60728337,0.57,,,,,
21,3,36,Baixo,343477335,281984165,61493170,0.57,79.3043,,74577.51,,
