Pais,Continente,ID_Local
india,Asia,1
china,Asia,2
united states,North America,3
indonesia,Asia,4
pakistan,Asia,5
nigeria,Africa,6
brazil,South America,7
bangladesh,Asia,8
russia,Europe/Asia,9
ethiopia,Africa,10
mexico,North America,11
japan,Asia,12
egypt,Africa,13
philippines,Asia,14
dr congo,Africa,15
vietnam,Asia,16
iran,Asia,17
turkey,Europe/Asia,18
germany,Europe,19
thailand,Asia,20
united kingdom,Europe,21
tanzania,Africa,22
france,Europe,23
south africa,Africa,24
italy,Europe,25
kenya,Africa,26
myanmar,Asia,27
colombia,South America,28
south korea,Asia,29
sudan,Africa,30
uganda,Africa,31
spain,Europe,32
algeria,Africa,33
iraq,Asia,34
argentina,South America,35
afghanistan,Asia,36
yemen,Asia,37
canada,North America,38
poland,Europe,39
morocco,Africa,40
angola,Africa,41
ukraine,Europe,42
uzbekistan,Asia,43
malaysia,Asia,44
mozambique,Africa,45
ghana,Africa,46
peru,South America,47
saudi arabia,Asia,48
madagascar,Africa,49
côte d'ivoire,Africa,50
nepal,Asia,51
cameroon,Africa,52
venezuela,South America,53
niger,Africa,54
australia,Oceania,55
north korea,Asia,56
syria,Asia,57
mali,Africa,58
burkina faso,Africa,59
taiwan,Asia,60
sri lanka,Asia,61
malawi,Africa,62
zambia,Africa,63
kazakhstan,Asia/Europe,64
chad,Africa,65
chile,South America,66
romania,Europe,67
somalia,Africa,68
senegal,Africa,69
guatemala,North America,70
netherlands,Europe,71
ecuador,South America,72
cambodia,Asia,73
zimbabwe,Africa,74
guinea,Africa,75
benin,Africa,76
rwanda,Africa,77
burundi,Africa,78
bolivia,South America,79
tunisia,Africa,80
south sudan,Africa,81
haiti,North America,82
belgium,Europe,83
jordan,Asia,84
dominican republic,North America,85
united arab emirates,Asia,86
cuba,North America,87
honduras,North America,88
czech republic (czechia),Europe,89
sweden,Europe,90
tajikistan,Asia,91
papua new guinea,Oceania,92
portugal,Europe,93
azerbaijan,Asia,94
greece,Europe,95
hungary,Europe,96
togo,Africa,97
israel,Asia,98
austria,Europe,99
belarus,Europe,100
switzerland,Europe,101
sierra leone,Africa,102
laos,Asia,103
turkmenistan,Asia,104
hong kong,Asia,105
libya,Africa,106
kyrgyzstan,Asia,107
paraguay,South America,108
nicaragua,North America,109
bulgaria,Europe,110
serbia,Europe,111
el salvador,North America,112
congo,Africa,113
denmark,Europe,114
singapore,Asia,115
lebanon,Asia,116
finland,Europe,117
liberia,Africa,118
norway,Europe,119
slovakia,Europe,120
state of palestine,Asia,121
central african republic,Africa,122
oman,Asia,123
ireland,Europe,124
new zealand,Oceania,125
mauritania,Africa,126
costa rica,North America,127
kuwait,Asia,128
panama,North America,129
croatia,Europe,130
georgia,Asia/Europe,131
eritrea,Africa,132
mongolia,Asia,133
uruguay,South America,134
puerto rico,North America,135
bosnia and herzegovina,Europe,136
qatar,Asia,137
moldova,Europe,138
namibia,Africa,139
armenia,Asia/Europe,140
lithuania,Europe,141
jamaica,North America,142
albania,Europe,143
gambia,Africa,144
gabon,Africa,145
botswana,Africa,146
lesotho,Africa,147
guinea-bissau,Africa,148
slovenia,Europe,149
equatorial guinea,Africa,150
latvia,Europe,151
north macedonia,Europe,152
bahrain,Asia,153
trinidad and tobago,North America,154
timor-leste,Asia,155
estonia,Europe,156
cyprus,Europe,157
mauritius,Africa,158
eswatini,Africa,159
djibouti,Africa,160
fiji,Oceania,161
réunion,Africa,162
comoros,Africa,163
guyana,South America,164
solomon islands,Oceania,165
bhutan,Asia,166
macao,Asia,167
luxembourg,Europe,168
montenegro,Europe,169
suriname,South America,170
western sahara,Africa,171
malta,Europe,172
maldives,Asia,173
micronesia,Oceania,174
cabo verde,Africa,175
brunei,Asia,176
belize,North America,177
bahamas,North America,178
iceland,Europe,179
guadeloupe,North America,180
martinique,North America,181
vanuatu,Oceania,182
mayotte,Africa,183
french guiana,South America,184
new caledonia,Oceania,185
barbados,North America,186
french polynesia,Oceania,187
sao tome & principe,Africa,188
samoa,Oceania,189
curaçao,North America,190
saint lucia,North America,191
guam,Oceania,192
kiribati,Oceania,193
seychelles,Africa,194
grenada,North America,195
aruba,North America,196
tonga,Oceania,197
st. vincent & grenadines,North America,198
antigua and barbuda,North America,199
u.s. virgin islands,North America,200
isle of man,Europe,201
andorra,Europe,202
cayman islands,North America,203
dominica,North America,204
bermuda,North America,205
greenland,North America,206
faeroe islands,Europe,207
saint kitts & nevis,North America,208
american samoa,Oceania,209
turks and caicos,North America,210
northern mariana islands,Oceania,211
sint maarten,North America,212
liechtenstein,Europe,213
british virgin islands,North America,214
gibraltar,Europe,215
monaco,Europe,216
marshall islands,Oceania,217
san marino,Europe,218
caribbean netherlands,North America,219
saint martin,North America,220
palau,Oceania,221
anguilla,North America,222
cook islands,Oceania,223
nauru,Oceania,224
wallis & futuna,Oceania,225
saint barthelemy,North America,226
tuvalu,Oceania,227
saint pierre & miquelon,North America,228
saint helena,Africa,229
montserrat,North America,230
falkland islands,South America,231
tokelau,Oceania,232
niue,Oceania,233
holy see,Europe,234
