"Country or Area","Year","Religion","Value","Value Footnotes"
"Albania","2011","Total","2800138",""
"Albania","2011","Atheist","69995",""
"Albania","2011","Catholic","280921",""
"Albania","2011","Evangelical","3797",""
"Albania","2011","Muslim","1587608",""
"Albania","2011","Orthodox","188992",""
"Albania","2011","Other","602",""
"Albania","2011","Other Christians","1919",""
"Albania","2011","Refused to answer","386024",""
"Albania","2011","Bektashism","58628",""
"Albania","2011","Believers without denomination","153630",""
"Albania","2011","Not Stated","68022",""
"Anguilla","2001","Total","11430",""
"Anguilla","2001","Anglican","3313",""
"Anguilla","2001","Baptist","833",""
"Anguilla","2001","Brethren","39",""
"Anguilla","2001","Church of God","869",""
"Anguilla","2001","Evangelical","60",""
"Anguilla","2001","Hindu","45",""
"Anguilla","2001","Jehovah Witness","81",""
"Anguilla","2001","Jewish","16",""
"Anguilla","2001","Methodist","2733",""
"Anguilla","2001","Muslim","36",""
"Anguilla","2001","Pentecostal","878",""
"Anguilla","2001","Presbyterian","25",""
"Anguilla","2001","Rastafarian","82",""
"Anguilla","2001","Roman Catholic","654",""
"Anguilla","2001","Seventh Day Adventist","871",""
"Anguilla","2001","Other Religions","400",""
"Anguilla","2001","No Religion","456",""
"Anguilla","2001","Not Specified","39",""
"Anguilla","2001","Total","5628",""
"Anguilla","2001","Anglican","1647",""
"Anguilla","2001","Baptist","384",""
"Anguilla","2001","Brethren","18",""
"Anguilla","2001","Church of God","359",""
"Anguilla","2001","Evangelical","32",""
"Anguilla","2001","Hindu","21",""
"Anguilla","2001","Jehovah Witness","37",""
"Anguilla","2001","Jewish","9",""
"Anguilla","2001","Methodist","1365",""
"Anguilla","2001","Muslim","20",""
"Anguilla","2001","Pentecostal","398",""
"Anguilla","2001","Presbyterian","11",""
"Anguilla","2001","Rastafarian","74",""
"Anguilla","2001","Roman Catholic","311",""
"Anguilla","2001","Seventh Day Adventist","424",""
"Anguilla","2001","Other Religions","195",""
"Anguilla","2001","No Religion","296",""
"Anguilla","2001","Not Specified","27",""
"Anguilla","2001","Total","5802",""
"Anguilla","2001","Anglican","1666",""
"Anguilla","2001","Baptist","449",""
"Anguilla","2001","Brethren","21",""
"Anguilla","2001","Church of God","510",""
"Anguilla","2001","Evangelical","28",""
"Anguilla","2001","Hindu","24",""
"Anguilla","2001","Jehovah Witness","44",""
"Anguilla","2001","Jewish","7",""
"Anguilla","2001","Methodist","1368",""
"Anguilla","2001","Muslim","16",""
"Anguilla","2001","Pentecostal","480",""
"Anguilla","2001","Presbyterian","14",""
"Anguilla","2001","Rastafarian","8",""
"Anguilla","2001","Roman Catholic","343",""
